"ID","References","Authors","Col.Name","Data File","Section diameter D [in.]","d [in.]","Clear Cover cc [in.]","lc  [in.]","a [in.]","a/d","No.of bars","Angle [degrees]","Bar dia. [in.]","fy (longi. reinf.) [psi]","pL (longi. reinf.)","Trans. reinf. legs perp. to load","Trans. reinf. legs parl. to load","Trans. bar dia. [in.]","Spacing of trans. reinf. (s) [in.]","fy (trans. reinf.) [psi]","pt (trans. reinf. volumetric ratio)","pv (trans. reinf. ratio)","s/d","Seismic hoops or spirals","f'c [psi]","Axial load(P) [kips]","Axial load ratio","Spliced longi. bars","Splice length [in]","Splice height [in]","Test setup","Number of loading directions","Maximum lateral load (primary) (Vmax1) [kips]","Drift ratio at Vmax1 [%]","Drift ratio at 0.8Vmax1 [%]","Drift ratio at 0.25Vmax1 [%]","Drift ratio at axial failure (primary) [%]","Lateral load at axial failure (primary) [kips]","Vp1 (primary) [kips]","Vo1 (primary) [kips]","Vp1/Vo1","Maximum lateral load (secondary) (Vmax2) [kips]","Drift ratio at Vmax2 [%]","Drift ratio at 0.8Vmax2 [%]","Drift ratio at 0.25Vmax2 [%]","Drift ratio at axial failure (secondary) [%]","Lateral load at axial failure (secondary) [kips]","Vp2 (secondary) [kips]","Vo2 (secondary) [kips]","Vp2/Vo2",
"9","Ang Beng Ghee; Priestley;M. J. N. a. P.;T. (1985). ""Seismic Shear Strength of Circular Reinforced Concrete Columns."" ACI Structural Journal 86(1): 45-59.","Ang_Beng_Ghee","UNIT22","/data/dibbs_experiments_files/sys_nees/aci369columndatabase/circular/9.csv","15.748000000000000","12.598400000000000","0.590000000000000","31.496000000000000","31.496000000000000","2.500000000000000","20","0","0.630000000000000","63220","0.032000000000000","2","2","0.393700787000000","8.661417323000000","44950","0.003900000000000","0.001784999000000","0.687501375000000","1","4480.500000000000000","0.000000000000000","0.000000000000000","0","0.000000000000000","0.000000000000000","1","1","64.029784000000000","1.513128026000000","1.636398273000000","0.000000000000000","0.000000000000000","0.000000000000000","71.908043620000000","40.951289660000000","1.755940881000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000",
"10","Arakawa;T. H.;Ming-Xuan; Arai;Yasuyuki; and Mizoguchi;Mitsuo (1987). ""Ultimate Shear Strength of Spirally-Confined Concrete Columns."" Transactions of the Japan Concrete Insitute 9: 305-312.","Arakawa","UNIT1","/data/dibbs_experiments_files/sys_nees/aci369columndatabase/circular/10.csv","10.827000000000000","8.661600000000000","0.670000000000000","23.622000000000000","11.811000000000000","1.363604877000000","12","0","0.630000000000000","53070","0.038500000000000","2","2","0.236220472000000","3.937007874000000","53360","0.004700000000000","0.002056272000000","0.454535868000000","1","4176.000000000000000","0.000000000000000","0.000000000000000","0","0.000000000000000","0.000000000000000","3","1","39.645728000000000","0.984368635000000","2.007874016000000","0.000000000000000","0.000000000000000","0.000000000000000","62.769641850000000","31.232707050000000","2.009740678000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000",
"11","Arakawa;T. H.;Ming-Xuan; Arai;Yasuyuki; and Mizoguchi;Mitsuo (1987). ""Ultimate Shear Strength of Spirally-Confined Concrete Columns."" Transactions of the Japan Concrete Insitute 9: 305-312.","Arakawa","UNIT2","/data/dibbs_experiments_files/sys_nees/aci369columndatabase/circular/11.csv","10.827000000000000","8.661600000000000","0.670000000000000","23.622000000000000","11.811000000000000","1.363604877000000","12","0","0.630000000000000","53070","0.038500000000000","2","2","0.236220472000000","1.968503937000000","53360","0.009400000000000","0.004112544000000","0.227267934000000","1","4248.500000000000000","0.000000000000000","0.000000000000000","0","0.000000000000000","0.000000000000000","3","1","45.818736000000000","1.282735899000000","2.643298620000000","0.000000000000000","0.000000000000000","0.000000000000000","62.950509470000000","41.703419200000000","1.509480774000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000",
"12","Arakawa;T. H.;Ming-Xuan; Arai;Yasuyuki; and Mizoguchi;Mitsuo (1987). ""Ultimate Shear Strength of Spirally-Confined Concrete Columns."" Transactions of the Japan Concrete Insitute 9: 305-312.","Arakawa","UNIT4","/data/dibbs_experiments_files/sys_nees/aci369columndatabase/circular/12.csv","10.827000000000000","8.661600000000000","0.670000000000000","23.622000000000000","11.811000000000000","1.363604877000000","12","0","0.630000000000000","53070","0.038500000000000","2","2","0.236220472000000","3.937007874000000","53360","0.004700000000000","0.002056272000000","0.454535868000000","1","4321.000000000000000","48.332000000000000","0.121491067000000","0","0.000000000000000","0.000000000000000","3","1","44.011344000000000","0.643267953000000","1.569723139000000","0.000000000000000","0.000000000000000","0.000000000000000","71.152088020000000","42.815211160000000","1.661841343000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000",
"13","Arakawa;T. H.;Ming-Xuan; Arai;Yasuyuki; and Mizoguchi;Mitsuo (1987). ""Ultimate Shear Strength of Spirally-Confined Concrete Columns."" Transactions of the Japan Concrete Insitute 9: 305-312.","Arakawa","UNIT6","/data/dibbs_experiments_files/sys_nees/aci369columndatabase/circular/13.csv","10.827000000000000","8.661600000000000","0.670000000000000","23.622000000000000","11.811000000000000","1.363604877000000","12","0","0.630000000000000","53070","0.038500000000000","2","2","0.236220472000000","1.968503937000000","53360","0.009400000000000","0.004112544000000","0.227267934000000","1","4147.000000000000000","48.332000000000000","0.126588594000000","0","0.000000000000000","0.000000000000000","3","1","50.647440000000000","0.985535304000000","1.990517314000000","0.000000000000000","0.000000000000000","0.000000000000000","70.339163230000000","52.631636470000000","1.336442641000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000",
"14","Arakawa;T. H.;Ming-Xuan; Arai;Yasuyuki; and Mizoguchi;Mitsuo (1987). ""Ultimate Shear Strength of Spirally-Confined Concrete Columns."" Transactions of the Japan Concrete Insitute 9: 305-312.","Arakawa","UNIT8","/data/dibbs_experiments_files/sys_nees/aci369columndatabase/circular/14.csv","10.827000000000000","8.661600000000000","0.670000000000000","23.622000000000000","11.811000000000000","1.363604877000000","12","0","0.630000000000000","53070","0.038500000000000","2","2","0.236220472000000","1.377952756000000","53360","0.013400000000000","0.005875062000000","0.159087554000000","1","4553.000000000000000","48.332000000000000","0.115300439000000","0","0.000000000000000","0.000000000000000","3","1","48.532072000000000","0.991101982000000","2.302937939000000","0.000000000000000","0.000000000000000","0.000000000000000","72.208268780000000","62.539456470000000","1.154603395000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000",
"15","Arakawa;T. H.;Ming-Xuan; Arai;Yasuyuki; and Mizoguchi;Mitsuo (1987). ""Ultimate Shear Strength of Spirally-Confined Concrete Columns."" Transactions of the Japan Concrete Insitute 9: 305-312.","Arakawa","UNIT9","/data/dibbs_experiments_files/sys_nees/aci369columndatabase/circular/15.csv","10.827000000000000","8.661600000000000","0.670000000000000","23.622000000000000","11.811000000000000","1.363604877000000","16","0","0.630000000000000","53070","0.051300000000000","2","2","0.236220472000000","1.968503937000000","53360","0.009400000000000","0.004112544000000","0.227267934000000","1","4422.500000000000000","48.332000000000000","0.118702747000000","0","0.000000000000000","0.000000000000000","3","1","51.261144000000000","0.955168577000000","2.027347388000000","0.000000000000000","0.000000000000000","0.000000000000000","86.895796690000000","53.376091270000000","1.627991009000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000",
"16","Arakawa;T. H.;Ming-Xuan; Arai;Yasuyuki; and Mizoguchi;Mitsuo (1987). ""Ultimate Shear Strength of Spirally-Confined Concrete Columns."" Transactions of the Japan Concrete Insitute 9: 305-312.","Arakawa","UNIT12","/data/dibbs_experiments_files/sys_nees/aci369columndatabase/circular/16.csv","10.827000000000000","8.661600000000000","0.670000000000000","23.622000000000000","11.811000000000000","1.363604877000000","12","0","0.630000000000000","53070","0.038500000000000","2","2","0.236220472000000","3.937007874000000","53360","0.004700000000000","0.002056272000000","0.454535868000000","1","4031.000000000000000","96.664000000000000","0.260462863000000","0","0.000000000000000","0.000000000000000","3","1","43.150360000000000","0.623767914000000","1.135805605000000","0.000000000000000","0.000000000000000","0.000000000000000","74.273972420000000","50.167940440000000","1.480506709000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000",
"17","Arakawa;T. H.;Ming-Xuan; Arai;Yasuyuki; and Mizoguchi;Mitsuo (1987). ""Ultimate Shear Strength of Spirally-Confined Concrete Columns."" Transactions of the Japan Concrete Insitute 9: 305-312.","Arakawa","UNIT13","/data/dibbs_experiments_files/sys_nees/aci369columndatabase/circular/17.csv","10.827000000000000","8.661600000000000","0.670000000000000","23.622000000000000","11.811000000000000","1.363604877000000","12","0","0.630000000000000","53070","0.038500000000000","2","2","0.236220472000000","1.968503937000000","53360","0.009400000000000","0.004112544000000","0.227267934000000","1","4422.500000000000000","96.664000000000000","0.237405494000000","0","0.000000000000000","0.000000000000000","3","1","53.596816000000000","0.949568566000000","1.647193294000000","0.000000000000000","0.000000000000000","0.000000000000000","77.424232750000000","61.649417800000000","1.255879382000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000",
"18","Arakawa;T. H.;Ming-Xuan; Arai;Yasuyuki; and Mizoguchi;Mitsuo (1987). ""Ultimate Shear Strength of Spirally-Confined Concrete Columns."" Transactions of the Japan Concrete Insitute 9: 305-312.","Arakawa","UNIT14","/data/dibbs_experiments_files/sys_nees/aci369columndatabase/circular/18.csv","10.827000000000000","8.661600000000000","0.670000000000000","23.622000000000000","11.811000000000000","1.363604877000000","12","0","0.630000000000000","53070","0.038500000000000","2","2","0.236220472000000","1.377952756000000","53360","0.013400000000000","0.005875062000000","0.159087554000000","1","4538.500000000000000","96.664000000000000","0.231337622000000","0","0.000000000000000","0.000000000000000","3","1","62.739432000000000","1.280502561000000","2.013800694000000","0.000000000000000","0.000000000000000","0.000000000000000","78.324572780000000","70.809956580000000","1.106123723000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000",
