"ID (From ACI 369 databases). The first 104 entries are circular columns, the rest (237) are rectangular columns",Section depth [in.],Section width [in.],a [in.],a/d,Bar dia. [in.],fy (longi. reinf.) [psi],pL (longi. reinf.),Spacing of trans. reinf. (s) [in.],fy (trans. reinf.) [psi],pv (trans. reinf. ratio),s/d,f'c [psi],Axial load(P) [kips],Axial load ratio,s/lbd,a/s,pl * fyl,pt * fyt,A [in],I,Drift ratio at 0.8Vmax1 [%],Col.Name,References
DATASTART,,,,,,,,,,,,,,,,,,,,,,,
191,13.77952756,13.77952756,39.37007874,3.279763857,1,63365,0.033091101,2.559055118,61625,0.008484372,0.213184651,5655,134.88,0.125616385,2.559055118,15.38461539,2096.817615,522.8494245,189.8753798,3004.38832,8.78,U7,Saatcioglu;M. O.;Guney (1989). Response of Reinforced Concrete Columns to Simulated Seismic Loading. ACI Structural Journal. 86: 3-12.
192,9.843,9.843,44.882,5.506993865,0.394,62350,0.015101101,5.906,62350,0.005362287,0.724662577,11600,337.2,0.300036856,14.98984772,7.59939045,941.5536474,334.3385945,96.884649,782.219601,1.3591,AA1,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
193,9.842519685,9.842519685,44.88188976,5.507246377,0.393700787,62350,0.015079645,5.905511811,62350,0.005361651,0.724637681,11600,337.2,0.300066141,15.00000002,7.599999999,940.2158658,334.2989399,96.87519375,782.0669303,1.5017,AA2,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
194,9.843,9.843,44.882,5.506993865,0.394,62350,0.015101101,5.906,62350,0.005362287,0.724662577,11600,224.8,0.200024571,14.98984772,7.59939045,941.5536474,334.3385945,96.884649,782.219601,1.6443,AA3,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
195,9.843,9.843,44.882,5.506993865,0.394,62350,0.015101101,5.906,62350,0.005362287,0.724662577,11600,224.8,0.200024571,14.98984772,7.59939045,941.5536474,334.3385945,96.884649,782.219601,1.3836,AA4,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
196,9.843,9.843,44.882,5.506993865,0.394,62350,0.015101101,3.937,62350,0.008044111,0.483067485,11600,224.8,0.200024571,9.992385787,11.4000508,941.5536474,501.5503209,96.884649,782.219601,1.9295,BA1,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
197,9.842519685,9.842519685,44.88188976,5.507246377,0.393700787,62350,0.015079645,3.937007874,62350,0.008042477,0.483091787,11600,337.2,0.300066141,10.00000001,11.4,940.2158658,501.448441,96.87519375,782.0669303,2.1256,BA2,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
198,9.842519685,9.842519685,44.88188976,5.507246377,0.393700787,62350,0.015079645,3.937007874,62350,0.008042477,0.483091787,11600,337.2,0.300066141,10.00000001,11.4,940.2158658,501.448441,96.87519375,782.0669303,1.7597,BA3,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
199,9.842519685,9.842519685,44.88188976,5.507246377,0.393700787,62350,0.015079645,3.937007874,62350,0.008042477,0.483091787,11600,224.8,0.200044094,10.00000001,11.4,940.2158658,501.448441,96.87519375,782.0669303,2.0532,BA4,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
200,9.842519685,9.842519685,44.88188976,5.507246377,0.393700787,62350,0.015079645,1.968503937,62350,0.016084954,0.241545894,11600,224.8,0.200044094,5.000000005,22.8,940.2158658,1002.896882,96.87519375,782.0669303,3.38,CA1,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
201,9.842519685,9.842519685,44.88188976,5.507246377,0.393700787,62350,0.015079645,1.968503937,62350,0.016084954,0.241545894,11600,337.2,0.300066141,5.000000005,22.8,940.2158658,1002.896882,96.87519375,782.0669303,2.9553,CA2,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
202,9.842519685,9.842519685,44.88188976,5.507246377,0.393700787,62350,0.015079645,1.968503937,62350,0.016084954,0.241545894,11600,224.8,0.200044094,5.000000005,22.8,940.2158658,1002.896882,96.87519375,782.0669303,3.109,CA3,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
203,9.842519685,9.842519685,44.88188976,5.507246377,0.393700787,62350,0.015079645,1.968503937,62350,0.016084954,0.241545894,11600,337.2,0.300066141,5.000000005,22.8,940.2158658,1002.896882,96.87519375,782.0669303,2.1234,CA4,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
209,9.842519685,9.842519685,44.88188976,5.643564356,0.787401575,62350,0.060318579,3.937007874,62350,0.008042477,0.495049505,11600,224.8,0.200044094,4.999999999,11.4,3760.863401,501.448441,96.87519375,782.0669303,3.1262,BB1,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
210,9.842519685,9.842519685,44.88188976,5.643564356,0.787401575,62350,0.060318579,3.937007874,62350,0.008042477,0.495049505,11600,337.2,0.300066141,4.999999999,11.4,3760.863401,501.448441,96.87519375,782.0669303,3.5527,BB4,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
211,9.842519685,9.842519685,44.88188976,5.643564356,0.787401575,62350,0.060318579,3.937007874,62350,0.008042477,0.495049505,11600,337.2,0.300066141,4.999999999,11.4,3760.863401,501.448441,96.87519375,782.0669303,4.2746,BB4B,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
212,9.842519685,9.842519685,44.88188976,5.643564356,0.787401575,62350,0.060318579,1.968503937,62350,0.016084954,0.247524752,11600,224.8,0.200044094,2.499999999,22.8,3760.863401,1002.896882,96.87519375,782.0669303,5.2413,CB1,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
213,9.842519685,9.842519685,44.88188976,5.643564356,0.787401575,62350,0.060318579,1.968503937,62350,0.016084954,0.247524752,11600,224.8,0.200044094,2.499999999,22.8,3760.863401,1002.896882,96.87519375,782.0669303,5.4031,CB2,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
214,9.842519685,9.842519685,44.88188976,5.643564356,0.787401575,62350,0.060318579,1.968503937,62350,0.016084954,0.247524752,11600,337.2,0.300066141,2.499999999,22.8,3760.863401,1002.896882,96.87519375,782.0669303,5.1622,CB3,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
215,9.842519685,9.842519685,44.88188976,5.643564356,0.787401575,62350,0.060318579,1.968503937,62350,0.016084954,0.247524752,11600,337.2,0.300066141,2.499999999,22.8,3760.863401,1002.896882,96.87519375,782.0669303,5.2556,CB4,Galeota;D. G.;M.M.; Marino;R. (1996). Seismic Resistance of High Strength Concrete Columns. Eleventh World Conference on Earthquake Engineering. Acapulco;Mexico.
