a,a/d,lbd,fy,pl,s,pt,s/d,AL,ALR,Vmax,pt/Vmax,Column ID,DC,Conc. Cover,fyt,f'c,h,b
35.433,2.57152,0.874,79315,0.0387063,7.087,0.00190602,0.514333,180.56,0.200046,88.077,1.113938707,1,2.000959557,1.16,51475,3639.5,15.748,15.748
34.488,3.44604,0.748031,71920,0.024464,5,0.00322977,0.4996,0,0,17.81,9.071827302,1,2.963349571,1.38,50025,4640,12.008,5.984
58,3.74194,1.252,48000,0.0303,18,0.00068,1.16129,113,0.09,59.8,0.659531773,1,1,1.5,58000,3900,18,18
25.591,2.5001,0.63,55114.5,0.0268151,5.906,0.00125632,0.576983,20.232,0.0347783,41.993,1.720458034,1,1.44972842,1.02,57507,4170.2,11.811,11.811
11.811,1.70309,0.5,53795,0.0126677,0.787402,0.0118792,0.11354,66.0912,0.350079,25.3215,23.40045005,1,1.508763018,0.47,49880,3045,7.874,7.874
15.748,2.2792,0.629921,53505,0.0201063,1.9685,0.00475167,0.284901,41.1384,0.143001,22.7902,9.553295688,1,3.825565151,0.43,45820,4640,7.874,7.874
15.748,2.27935,0.511811,53650,0.0265466,1.9685,0.00475167,0.284919,41.1384,0.153044,24.8606,8.757693676,1,1.796418593,0.49,45820,4335.5,7.874,7.874
3.15,1.2698,0.23622,48720,0.017667,3.14961,0.0039265,1.26964,34.1696,0.698509,8.2596,23.50547151,1,4.175265915,0.39,49445,4930,3.15,3.15
12.598,2.32306,0.374016,49445,0.0221522,1.5748,0.00613613,0.290393,97.1136,0.799993,15.2217,32.67466953,1,0.806445212,0.49,81055,3059.5,6.299,6.299
12.598,2.32306,0.374016,49445,0.0221522,1.5748,0.0104744,0.290393,109.253,0.899993,15.1457,56.05567864,1,3.467476287,0.49,81055,3059.5,6.299,6.299
18.898,3.48478,0.374016,49445,0.0221522,1.5748,0.00613613,0.290393,116.222,0.701428,12.71,39.13170867,1,1.520042334,0.49,81055,4176,6.299,6.299
18.898,3.48478,0.374016,49445,0.0221522,1.5748,0.00613613,0.290393,116.222,0.701428,12.3429,40.29555592,1,1.596242889,0.49,81055,4176,6.299,6.299
11.811,1.76212,0.374016,52345,0.0212647,2.75591,0.0080784,0.411161,59.572,0.256841,29.2735,17.04622843,1,2.54000508,0.75,61770,3741,7.874,7.874
11.811,1.76212,0.374016,52345,0.0212647,2.75591,0.0080784,0.411161,142.973,0.616417,30.7324,16.23702568,1,1.008382017,0.75,61770,3741,7.874,7.874
12.717,1.36003,0.511811,63945,0.0274788,2.04724,0.00782347,0.218945,591.674,0.735702,115.471,4.06719353,1,0.896866276,1.1,60030,6713.5,10.945,10.945
34.488,3.44604,0.748,71920,0.0244619,5,0.00322895,0.4996,42.487,0.117516,22.201,7.27571838,1,3.633147762,1.38,50025,5031.5,12.008,5.984
34.488,3.44604,0.748031,71920,0.024464,5,0.00322977,0.4996,42.4872,0.117516,22.7745,7.094304782,1,3.515715611,1.38,50025,5031.5,12.008,5.984
34.488,3.44604,0.748,71920,0.0244619,3.504,0.00460752,0.35012,40.014,0.147144,23.512,9.803129806,1,4.879958246,1.38,50025,3784.5,12.008,5.984
34.488,3.44604,0.748031,71920,0.024464,3.50394,0.00460878,0.350114,40.0144,0.147145,22.1381,10.41436345,1,5.407388077,1.38,50025,3784.5,12.008,5.984
34.488,3.44604,0.748031,71920,0.024464,5,0.00322977,0.4996,40.0144,0.1143,21.182,7.627667088,1,5.02203665,1.38,50025,4872,12.008,5.984
34.488,3.44604,0.748,71920,0.0244619,5,0.00322895,0.4996,40.014,0.114299,23.582,6.849640563,1,4.108675481,1.38,50025,4872,12.008,5.984
34.488,3.44604,0.748031,71920,0.024464,5,0.00322977,0.4996,24.9528,0.0712771,19.7581,8.177367472,1,3.534852702,1.38,50025,4872,12.008,5.984
34.488,3.44604,0.748,71920,0.0244619,5,0.00322895,0.4996,24.953,0.0712776,20.967,7.703926349,1,3.653444676,1.38,50025,4872,12.008,5.984
34.488,3.44604,0.748031,71920,0.024464,3.50394,0.00460878,0.350114,0,0,22.11,10.42759925,1,5.534968685,1.38,50025,3749.7,12.008,5.984
34.488,3.44604,0.748,71920,0.0244619,2.52,0.00640665,0.251799,40.014,0.114983,22.826,14.04068458,1,6.790767803,1.38,50025,4843,12.008,5.984
34.488,3.44604,0.748,71920,0.0244619,2.52,0.00640665,0.251799,40.014,0.114983,22.338,14.34741992,1,6.819763396,1.38,50025,4843,12.008,5.984
34.488,3.44604,0.748,71920,0.0244619,2.52,0.0145704,0.251799,40.014,0.11464,26.924,24.87477477,1,5.897703549,1.25,45965,4857.5,12.008,5.984
34.488,3.44604,0.748,71920,0.0244619,2.52,0.0145704,0.251799,40.014,0.11464,27.079,24.73239174,1,6.228253305,1.25,45965,4857.5,12.008,5.984
34.488,3.44604,0.748,71920,0.0244619,4.016,0.00914277,0.401279,40.014,0.11464,27.241,15.42701894,1,5.868707956,1.25,45965,4857.5,12.008,5.984
34.488,3.44604,0.748,71920,0.0244619,4.016,0.00914277,0.401279,40.014,0.11464,27.21,15.44459475,1,5.744026908,1.25,45965,4857.5,12.008,5.984
58,3.71177,1,47995,0.0193925,18,0.000678195,1.15193,113.074,0.0727149,54.1251,0.726566347,1,2.593017241,1.5,57985.5,4799.5,18,18
58,3.71177,1,47995,0.0193925,18,0.000678195,1.15193,339.898,0.283723,68.7888,0.571684288,1,0.957068966,1.5,57985.5,3697.5,18,18
58,3.71,1,48000,0.0194,18,0.00068,1.152,113,0.07,52.5,0.751238095,1,1.4,1.5,58000,4800,18,18
58,3.74,1.25,48000,0.0303,12,0.00174,0.774194,340,0.28,82.5,1.223272727,1,1.69,1.5,58000,3698,18,18
20,2.24134,0.625984,73950,0.0246211,2.00787,0.00745019,0.225017,120.043,0.0962656,60.6846,7.992878258,1,6.40275,0.51,65105,12470,10,10
20,2.24134,0.625984,73950,0.0246211,2.00787,0.00745019,0.225017,240.086,0.192531,72.8635,6.656894329,1,3.7225,0.51,65105,12470,10,10
58,3.75768,1.12992,62988,0.0247589,12,0.00173652,0.777452,149.942,0.151261,70.7565,1.693902474,1,2.554310345,1.63,69020,3059.5,18,18
58,3.75768,1.12992,62988,0.0247589,12,0.00173652,0.777452,599.991,0.60527,80.7251,1.48472545,1,1.521551724,1.63,69020,3059.5,18,18
58,3.75768,1.12992,62988,0.0247589,12,0.00173652,0.777452,149.942,0.146404,66.2213,1.809910262,1,2.887931034,1.63,69020,3161,18,18
94.488,7.2399,0.748031,46835,0.0141765,7.83465,0.00159843,0.60031,0,0,28.8011,2.079433606,1,3.953729574,1.97,37468,4457.3,15.748,31.496
94.488,7.2399,0.748031,46835,0.0177206,7.83465,0.00159843,0.60031,0,0,35.9682,1.665081245,1,3.199559732,1.97,37468,4116.55,15.748,31.496
98.425,5.56168,0.511811,46835,0.0212373,10,0.0020037,0.565068,0,0,35.3949,2.121057881,1,3.341630683,1.38,37468,4525.45,19.685,19.685
98.425,5.56168,0.511811,46835,0.0212373,10,0.0020037,0.565068,0,0,34.9097,2.150537862,1,2.681432563,1.38,37468,4641.45,19.685,19.685
98.425,5.56168,0.511811,46835,0.0212373,10,0.0020037,0.565068,0,0,36.6519,2.048314865,1,2.197917196,1.38,37468,4612.45,19.685,19.685
68.898,3.8932,0.511811,46835,0.0212373,10,0.0020037,0.565068,0,0,53.5664,1.40152468,1,2.718801707,1.38,37468,4613.9,19.685,19.685
68.898,3.8932,0.511811,46835,0.0212373,10,0.0020037,0.565068,0,0,51.714,1.451727416,1,2.761183198,1.38,37468,4825.6,19.685,19.685
45.669,2.58061,0.511811,46835,0.0212373,1.9685,0.0101788,0.111234,0,0,88.6526,4.301952547,1,2.472355427,1.38,37468,4786.45,19.685,19.685
19.685,2.89017,0.512,63003.9,0.0199246,3.93701,0.00282744,0.578036,17.6423,0.100176,16.8043,13.62969755,1,2.625857252,0.57,81005.265,2840.55,7.874,7.874
19.685,2.89017,0.512,63003.9,0.0199246,3.93701,0.00282744,0.578036,17.6423,0.100176,15.9222,14.38479145,1,1.638811278,0.57,81005.265,2840.55,7.874,7.874
19.685,2.89017,0.512,63003.9,0.0199246,3.93701,0.00282744,0.578036,35.2846,0.200351,18.8001,12.18278235,1,1.558547117,0.57,81005.265,2840.55,7.874,7.874
19.685,2.89017,0.512,63003.9,0.0265662,3.93701,0.00282744,0.578036,35.2846,0.200351,18.1385,12.62714814,1,1.259334519,0.57,81005.265,2840.55,7.874,7.874
19.685,2.89017,0.394,50003.2,0.0196649,3.93701,0.00282744,0.578036,17.6423,0.100176,13.0222,14.98257138,1,2.426212852,0.63,69004.485,2840.55,7.874,7.874
19.685,2.89017,0.394,50003.2,0.0196649,3.93701,0.00282744,0.578036,35.2846,0.200351,15.9222,12.25371124,1,2.819405639,0.63,69004.485,2840.55,7.874,7.874
19.685,2.89017,0.394,50003.2,0.0196649,3.93701,0.00282744,0.578036,35.2846,0.200351,15.8009,12.34778026,1,1.911099822,0.63,69004.485,2840.55,7.874,7.874
23.622,3.33315,0.512,67004.5,0.0199246,3.93701,0.00282744,0.555525,35.2846,0.223131,15.7458,8.440239164,1,2.151807637,0.29,47003.055,2550.55,7.874,7.874
15.748,2.2221,0.512,67004.5,0.0199246,3.93701,0.00282744,0.555525,35.2846,0.223131,24.0046,5.536368772,1,1.605918212,0.29,47003.055,2550.55,7.874,7.874
23.622,3.33315,0.512,67004.5,0.0199246,7.87402,0.00141372,1.11105,88.2115,0.557828,18.6678,3.559560254,1,1.705190077,0.29,47003.055,2550.55,7.874,7.874
15.748,2.2221,0.394,55004.3,0.0117989,4.72441,0.0010472,0.66663,35.2846,0.119297,17.929,5.490724435,1,1.982473965,0.43,94006.11,4770.5,7.874,7.874
15.748,2.2221,0.354331,47003.2,0.00954263,3.93701,0.00125664,0.555525,35.2846,0.265913,11.3021,8.450716929,1,2.002476505,0.45,76004.94,2140.2,7.874,7.874
15.748,2.2221,0.354331,47003.2,0.00954263,3.93701,0.00125664,0.555525,35.2846,0.299609,13.1986,7.236437789,1,2.008826518,0.45,76004.94,1899.5,7.874,7.874
15.748,2.2221,0.394,54003.8,0.0117989,3.93701,0.00125664,0.555525,35.2846,0.281757,15.3378,6.227154338,1,2.146304293,0.43,76004.94,2019.85,7.874,7.874
15.748,2.2221,0.394,54003.8,0.0117989,3.93701,0.00125664,0.555525,35.2846,0.299609,15.6245,6.112889872,1,2.363792228,0.43,76004.94,1899.5,7.874,7.874
19.685,2.94113,0.512,76004.6,0.0132831,3.93701,0.00331831,0.588228,35.2846,0.197627,16.9271,9.998452789,1,2.124460249,0.67,51003.315,2879.7,7.874,7.874
19.685,2.94113,0.625,76004.6,0.0197933,3.93701,0.00331831,0.588228,35.2846,0.192208,19.7484,8.570051761,1,1.930403861,0.61,51003.315,2960.9,7.874,7.874
19.685,2.94113,0.748,52002.8,0.0283506,3.93701,0.00331831,0.588228,88.2115,0.447433,24.4236,6.223005123,1,1.49504699,0.55,45802.89,3179.85,7.874,7.874
19.685,2.94113,0.866,52002.8,0.038001,3.93701,0.00331831,0.588228,88.2115,0.447433,24.3133,6.25123648,1,1.036830074,0.49,45802.89,3179.85,7.874,7.874
58.464,3.11891,0.992,64525,0.0197796,11.811,0.00121077,0.630089,404.64,0.132255,132.699,0.562277796,1,1.086138478,1.97,61625,6525,21.654,21.654
28.996,3.73667,0.5,69455,0.0193925,5.98425,0.00183769,0.771182,28.7744,0.099997,18.1438,10.5447539,1,5.345047593,0.8,104110,3552.5,9,9
28.996,3.73667,0.5,69455,0.0193925,5.98425,0.00183769,0.771182,68.1144,0.242654,19.9218,9.603645549,1,3.439267485,0.8,104110,3465.5,9,9
48,2.13333,0.75,47003.2,0.0253107,5,0.00124659,0.222222,114.041,0.0539982,127.9,0.506850434,1,1.432604167,0.87,52002.8,5499.85,24,16
39.37,3.27855,0.984252,65685,0.0320549,5.90551,0.00299189,0.491784,134.88,0.162209,61.6626,3.30666082,1,3.923291847,0.89,68150,4379,13.78,13.78
15.748,2.28563,0.511811,52459.6,0.0265466,1.5748,0.0070686,0.228564,71.7443,0.346458,27.4999,13.58301974,1,1.97485395,0.49,52843.8,3340,7.874,7.874
15.748,2.28563,0.511811,52459.6,0.0265466,1.9685,0.00565488,0.285704,43.0897,0.208083,24.5449,12.17464108,1,1.966916434,0.49,52843.8,3340,7.874,7.874
15.748,2.28563,0.511811,52459.6,0.0265466,2.3622,0.0070686,0.342845,62.8811,0.346148,26.7722,13.95222226,1,2.132016764,0.49,52843.8,2930,7.874,7.874
15.748,2.28563,0.511811,52459.6,0.0265466,2.95276,0.00565488,0.428557,37.7664,0.207896,24.589,12.15280604,1,2.482219964,0.49,52843.8,2930,7.874,7.874
58,3.74194,1.25197,47995,0.0303964,18,0.000678195,1.16129,339.898,0.262136,73.7344,0.53333961,1,1.031810345,1.5,57985.5,4002,18,18
58,3.74194,1.25197,47995,0.0303964,12,0.00173652,0.774194,339.898,0.262136,80.0288,1.2582093,1,1.744482759,1.5,57985.5,4002,18,18
58,3.74,1.25,48000,0.0303,18,0.00068,1.16129,113,0.09,59.8,0.659531773,1,1,1.5,58000,3900,18,18
23.622,2.35302,0.512,59305,0.0177108,3.937,0.00188145,0.392171,124.224,0.200045,48.939,2.185202354,1,5.306070612,1.28,56840,4451.5,11.811,11.811
23.622,2.35302,0.512,59305,0.0177108,5.906,0.00125419,0.588306,124.224,0.200045,47.5902,1.497958815,1,2.036025739,1.28,56840,4451.5,11.811,11.811
59.055,2.34774,0.768,58000,0.0146396,11.811,0.000593634,0.469548,290.891,0.150949,116.244,0.296193971,1,1.205655745,1.77,58000,5075,27.558,13.779
59.055,2.36693,0.768,58000,0.0146396,11.811,0.00191047,0.473387,338.998,0.146593,128.496,0.862340151,1,1.268309203,1.78,58000,6090,27.558,13.779
25.591,2.5001,0.63,55114.5,0.0268151,2.756,0.00269224,0.269246,20.232,0.0302457,41.61,3.720803789,1,2.543863077,1.02,57507,4795.15,11.811,11.811
41.339,4.03859,0.63,57478,0.0268151,5.906,0.00125632,0.576983,20.232,0.0274787,28.145,2.761783723,1,1.487699267,1.02,61871.5,5278,11.811,11.811
35.433,3.52953,0.752,56115,0.0382062,2.953,0.00609909,0.294153,142.028,0.260057,46.286,6.782842712,1,5.449722011,1.03,51475,3915,11.811,11.811
35.433,3.52953,0.752,56115,0.0382062,2.953,0.00609909,0.294153,142.028,0.260057,45.207,6.9447355,1,5.334010668,1.03,51475,3915,11.811,11.811
47.2441,2.45902,0.944882,54375,0.017946,3.14961,0.00713998,0.163934,408.012,0.259798,156.497,1.964786793,1,2.821516667,1.57,43065,3349.5,21.65354331,21.65354331
47.2441,2.45902,0.944882,54375,0.017946,2.95276,0.010967,0.153689,602.464,0.214045,182.414,2.754766301,1,2.154978333,1.5,45820,6003,21.65354331,21.65354331
47.2441,2.45902,0.944882,54375,0.017946,2.95276,0.00761598,0.153689,611.231,0.420113,150.706,2.176304717,1,1.755775,1.57,43065,3103,21.65354331,21.65354331
47.2441,2.45902,0.944882,54375,0.017946,2.44094,0.0132666,0.127049,958.772,0.600097,156.575,3.612039968,1,1.303231667,1.5,42630,3407.5,21.65354331,21.65354331
62.9921,4.5007,0.629921,61915,0.0150796,3.93701,0.0113097,0.281294,322.588,0.380116,43.1728,12.15510877,1,3.183255,0.96,46400,3422,15.7480315,15.7480315
62.9921,4.45063,0.629921,61915,0.0150796,3.54331,0.00872665,0.250348,188.832,0.210046,38.0429,9.313222441,1,3.65379,0.89,40600,3625,15.7480315,15.7480315
62.9921,4.30108,0.629921,64670,0.0150796,3.34646,0.00452759,0.228495,167.251,0.100022,44.8678,5.326006628,1,4.890135,0.51,52780,6742.5,15.7480315,15.7480315
62.9921,4.31267,0.629921,64670,0.0150796,3.07087,0.00644429,0.210243,474.778,0.300066,62.7754,5.358658615,1,3.14325,0.51,52200,6380,15.7480315,15.7480315
62.9921,4.30108,0.629921,64670,0.0150796,3.58268,0.00422907,0.244624,474.778,0.300066,62.2651,3.58483829,1,2.788285,0.51,52780,6380,15.7480315,15.7480315
62.9921,4.28954,0.629921,64670,0.0150796,3.70079,0.00300791,0.252011,431.616,0.300066,59.4731,1.870046664,1,2.16487375,0.51,36975,5800,15.7480315,15.7480315
62.9921,4.33604,0.629921,63800,0.0150796,4.6063,0.0067128,0.317073,227.048,0.223106,47.9498,9.459557621,1,5.45592,0.51,67570,4103.5,15.7480315,15.7480315
62.992,4.3359,0.63,63800,0.0150835,3.622,0.00853703,0.249312,562.45,0.39005,60.444,9.543496742,1,6.800863602,0.51,67570,5814.5,15.748,15.748
62.9921,4.31267,0.629921,68730,0.0150796,3.18898,0.00620562,0.218329,737.344,0.50011,65.6461,5.099025575,1,2.29235,0.51,53940,5945,15.7480315,15.7480315
62.9921,4.28954,0.629921,68730,0.0150796,3.77953,0.00294524,0.257373,719.36,0.50011,66.3205,2.498461296,1,1.56765625,0.51,56260,5800,15.7480315,15.7480315
62.9921,4.35967,0.629921,68730,0.0150796,3.77953,0.011781,0.26158,1057.46,0.700154,66.4396,7.919064233,1,1.0207625,0.51,44660,6090,15.7480315,15.7480315
62.9921,4.31267,0.629921,68730,0.0150796,3.0315,0.00652799,0.207547,981.926,0.700154,66.3992,5.303072636,1,1.1636375,0.51,53940,5655,15.7480315,15.7480315
62.9921,4.35967,0.629921,68730,0.0150796,2.04724,0.0217495,0.141689,1007.1,0.700154,69.5756,13.96082348,1,2.6997025,0.51,44660,5800,15.7480315,15.7480315
62.9921,4.73373,0.787402,68730,0.015708,3.14961,0.0106029,0.236686,184.111,0.199995,37.5641,13.62899754,1,3.936365,1.57,48285,3712,15.7480315,15.7480315
62.9921,4.73373,0.787402,68730,0.015708,3.14961,0.0106029,0.236686,184.111,0.199995,37.7124,13.57540296,1,5.34431875,1.57,48285,3712,15.7480315,15.7480315
62.9921,4.73373,0.787402,68730,0.015708,3.14961,0.0106029,0.236686,184.111,0.199995,39.4052,12.99221997,1,3.56235,1.57,48285,3712,15.7480315,15.7480315
62.9921,4.73373,0.787402,68730,0.015708,3.14961,0.0106029,0.236686,184.111,0.199995,38.3104,13.3634999,1,4.8352075,1.57,48285,3712,15.7480315,15.7480315
64.9606,3.38115,0.787402,74095,0.0124625,4.33071,0.00747751,0.22541,217.606,0.100022,86.6874,4.064923608,1,4.641580606,1.57,47125,4640,21.65354331,21.65354331
64.9606,3.38115,0.787402,74095,0.0124625,4.33071,0.00747751,0.22541,217.606,0.100022,91.9882,3.83068327,1,6.800580606,1.57,47125,4640,21.65354331,21.65354331
64.9606,3.38115,0.787402,74095,0.0124625,3.54331,0.00913918,0.184426,654.842,0.300996,138.639,3.106513012,1,4.976398788,1.57,47125,4640,21.65354331,21.65354331
64.9606,3.38115,0.787402,74095,0.0124625,3.54331,0.00913918,0.184426,654.842,0.300058,139.077,3.096729563,1,5.170362424,1.57,47125,4654.5,21.65354331,21.65354331
