ID,Drift ratio at 0.8Vmax1 [%],References,First Author,Col.Name,Data File,Section depth (h) [in.],Section width (b) [in.],d1 [in.],d2 [in.],Clear Cover cc [in.],lc [in.],a [in.],a/d1,Longi. bars along first face (perp.),Bar dia. [in.],Longi. bars along second face (perp.),Bar dia. [in.],Longi. bars in middle layers(perp.),Longi. bars in middle layers (parl.),Bar dia. [in.],fy (longi. reinf.) [psi],pL (longi. reinf.),Trans. reinf. legs perp. to load,Trans. reinf. legs parl. to load,Trans. bar dia. [in.],Spacing of trans. reinf. (s) [in.],fy (trans. reinf.) [psi],pt (trans. reinf. volumetric ratio),pv (trans. reinf. ratio),s/d1 (primary),s/d2 (secondary),Seismic hoops,f'c [psi],Axial load(P) [kips],Axial load ratio,Spliced longi. bars,Splice length [in.],Splice height [in.],Test configuration,Number of loading directions,Maximum lateral load (primary) (Vmax1) [kips],Drift ratio at Vmax1 [%],Drift ratio at 0.8Vmax1 [%],Drift ratio at 0.25Vmax [%],Drift ratio at axial failure (primary) [%],Lateral load at axial failure (primary) [kips],Vp1 (primary) [kips],Vo1 (primary) [kips],Vp1/Vo1,Maximum lateral load (secondary) (Vmax2) [kips],Drift ratio at Vmax2 [%],Drift ratio at 0.8Vmax2 [%],Drift ratio at 0.25Vmax2 [%],Drift ratio at axial failure (secondary) [%],Lateral load at axial failure (secondary) [kips],Vp2 (secondary) [kips],Vo2 (secondary) [kips],Vp2/Vo2,
64,6.228253305,Wight;J. K. S.;M.A. (1973). Shear Strength Decay in Reinforced Concrete Columns Subjected to Large Deflection Reversals. Structural Research Series. Urbana-Champaign;University of Illinois: 308.,Wight,WI_40_147_W,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/64.csv,12.008,5.984,10.008,3.98,1.25,34.488,34.488,3.446043165,2,0.748,2,0.748,0,0,0.748,71920,0.024461935,2,2,0.374,2.52,45965,0.015,0.014570383,0.251798561,0.48,2,4857.5,40.014,0.114640189,0,0,0,2,1,27.079,6.083275342,6.228253305,0,0,0,20.35537277,50.76,0.401009509,0,0,0,0,0,0,0,0,0,
65,5.868707956,Wight;J. K. S.;M.A. (1973). Shear Strength Decay in Reinforced Concrete Columns Subjected to Large Deflection Reversals. Structural Research Series. Urbana-Champaign;University of Illinois: 308.,Wight,WI_40_092_E,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/65.csv,12.008,5.984,10.008,3.98,1.25,34.488,34.488,3.446043165,2,0.748,2,0.748,0,0,0.748,71920,0.024461935,2,2,0.374,4.016,45965,0.009,0.00914277,0.401278977,0.77,2,4857.5,40.014,0.114640189,0,0,0,2,1,27.241,5.900603108,5.868707956,0,0,0,20.35537277,35.82,0.568276531,0,0,0,0,0,0,0,0,0,
66,5.744026908,Wight;J. K. S.;M.A. (1973). Shear Strength Decay in Reinforced Concrete Columns Subjected to Large Deflection Reversals. Structural Research Series. Urbana-Champaign;University of Illinois: 308.,Wight,WI_40_092_W,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/66.csv,12.008,5.984,10.008,3.98,1.25,34.488,34.488,3.446043165,2,0.748,2,0.748,0,0,0.748,71920,0.024461935,2,2,0.374,4.016,45965,0.009,0.00914277,0.401278977,0.77,2,4857.5,40.014,0.114640189,0,0,0,2,1,27.21,5.700533519,5.744026908,0,0,0,20.35537277,35.82,0.568276531,0,0,0,0,0,0,0,0,0,
67,2.593017241,Lynn;A. (1999). Seismic Evaluation of Existing Reinforced Concrete Building Colums. Department of Civil Engineering. Berkeley;University of California. Doctor of Philosophy: 371.,Lynn,2CLH18,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/67.csv,18,18,15.62598425,15.63,1.5,116,58,3.711766188,3,1,3,1,2,1,1,47995,0.019392547,2,2,0.374015748,18,57985.5,0.001627668,0.000678195,1.151927438,1.05,2,4799.5,113.0744,0.072714879,0,0,0,3,1,54.12514995,1.920988325,2.593017241,0,3.1,22.263,50.34109467,39.37,1.278668208,0,0,0,0,0,0,0,0,0,
68,0.957068966,Lynn;A. (1999). Seismic Evaluation of Existing Reinforced Concrete Building Colums. Department of Civil Engineering. Berkeley;University of California. Doctor of Philosophy: 371.,Lynn,2CMH18,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/68.csv,18,18,15.62598425,15.63,1.5,116,58,3.711766188,3,1,3,1,2,1,1,47995,0.019392547,2,2,0.374015748,18,57985.5,0.001627668,0.000678195,1.151927438,1.05,2,3697.5,339.8976,0.283723236,0,0,0,3,1,68.7888,0.95710019,0.957068966,1.558448276,1,53.205,60.55943716,50.16,1.207435746,0,0,0,0,0,0,0,0,0,
69,1.4,Lynn;A. (1999). Seismic Evaluation of Existing Reinforced Concrete Building Colums. Department of Civil Engineering. Berkeley;University of California. Doctor of Philosophy: 371.,Lynn,2SLH18,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/69.csv,18,18,15.625,15.63,1.5,116,58,3.71,3,1,3,1,2,1,1,48000,0.0194,2,2,0.375,18,58000,0.00159,0.00068,1.152,1.05,2,4800,113,0.07,1,20,0,3,1,52.5,0.9,1.4,0,3.6,20,51.2,39.37,1.300484478,0,0,0,0,0,0,0,0,0,
70,1.69,Lynn;A. (1999). Seismic Evaluation of Existing Reinforced Concrete Building Colums. Department of Civil Engineering. Berkeley;University of California. Doctor of Philosophy: 371.,Lynn,3SMD12,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/70.csv,18,18,15.5,15.5,1.5,116,58,3.74,3,1.25,3,1.25,2,1,1.25,48000,0.0303,2,2,0.375,12,58000,0.00407,0.00174,0.774193548,0.71,2,3698,340,0.28,1,25,0,3,1,82.5,1.57,1.69,1.97,0.89,33.1,79,75.13,1.051571679,0,0,0,0,0,0,0,0,0,
71,6.40275,"Xiao;Y. M.;Armen (1998). ""Seismic Performance of High-Strength Concrete Columns."" Journal of Structural Engineering (ASCE) 124(3): 241-251.",Xiao,HC4-8L16-T6-0.1P,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/71.csv,10,10,8.923228346,8.92,0.51,40,20,2.241341275,3,0.625984252,3,0.625984252,2,1,0.625984252,73950,0.024621056,3,3,0.251968504,2.007874016,65105,0.016,0.007450187,0.225016545,0.21,2,12470,120.0432,0.096265597,0,0,0,3,1,60.68456218,1.551275,6.40275,0,0,0,59.97062331,83.24,0.720463073,0,0,0,0,0,0,0,0,0,
72,3.7225,"Xiao;Y. M.;Armen (1998). ""Seismic Performance of High-Strength Concrete Columns."" Journal of Structural Engineering (ASCE) 124(3): 241-251.",Xiao,HC4-8L16-T6-0.2P,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/72.csv,10,10,8.923228346,8.92,0.51,40,20,2.241341275,3,0.625984252,3,0.625984252,2,1,0.625984252,73950,0.024621056,3,3,0.251968504,2.007874016,65105,0.016,0.007450187,0.225016545,0.21,2,12470,240.0864,0.192531195,0,0,0,3,1,72.86347085,1.7284125,3.7225,4.2025,0,0,72.30679767,94.48,0.765313849,0,0,0,0,0,0,0,0,0,
73,2.554310345,Sezen H.; Moehle;J. P. (2002). Seismic Behavior of Shear-Critical Reinforced Concrete Building Columns. Seventh U.S. National Conference on Earthquake Engineering;Boston (Massachusetts);Earthquake Engineering Research Institute.,Sezen ,Specimen_1,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/73.csv,18,18,15.43503937,15.44,1.63,116,58,3.757683969,3,1.12992126,3,1.12992126,2,1,1.12992126,62988,0.024758893,3.414,3.414,0.374015748,12,69020,0.002,0.001736519,0.777451856,0.7,2,3059.5,149.9416,0.151260898,0,0,0,3,1,70.7564543,1.844827586,2.554310345,0,4.962068966,3.15,64.77925745,65.07,0.995586655,0,0,0,0,0,0,0,0,0,
74,1.521551724,Sezen H.; Moehle;J. P. (2002). Seismic Behavior of Shear-Critical Reinforced Concrete Building Columns. Seventh U.S. National Conference on Earthquake Engineering;Boston (Massachusetts);Earthquake Engineering Research Institute.,Sezen ,Specimen_2,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/74.csv,18,18,15.43503937,15.44,1.63,116,58,3.757683969,3,1.12992126,3,1.12992126,2,1,1.12992126,62988,0.024758893,3.414,3.414,0.374015748,12,69020,0.002,0.001736519,0.777451856,0.7,2,3059.5,599.9912,0.605270368,0,0,0,3,1,80.72508023,0.856034483,1.521551724,1.751724138,1.821551724,8.34,59.27245177,88.36,0.670771551,0,0,0,0,0,0,0,0,0,
75,2.887931034,Sezen H.; Moehle;J. P. (2002). Seismic Behavior of Shear-Critical Reinforced Concrete Building Columns. Seventh U.S. National Conference on Earthquake Engineering;Boston (Massachusetts);Earthquake Engineering Research Institute.,Sezen ,Specimen_4,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/75.csv,18,18,15.43503937,15.44,1.63,116,58,3.757683969,3,1.12992126,3,1.12992126,2,1,1.12992126,62988,0.024758893,3.414,3.414,0.374015748,12,69020,0.002,0.001736519,0.777451856,0.7,2,3161,149.9416,0.146403896,0,0,0,3,1,66.22132559,2.046551724,2.887931034,5.097413793,5.1,16.4,65.32113919,65.48,0.997587369,0,0,0,0,0,0,0,0,0,
76,3.953729574,Iwasaki;T. K.;Kazuhiko; Hagiwara;Ryoji; Hasegawa;Kinji; Koyama;Tatsuhiko; Yoshida;Takeshi (1985). Experimental investigation on hysteretic behavior of reinforced concrete bridge pier columns 17th Joint Panel Meeting of the U.S.-Japan Cooperative Program in Wind and Seismic Effects;Gaithesburg;Maryland;Center for Building Technology.,Iwasaki,I_03,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/76.csv,15.748,31.496,13.051,28.8,1.97,94.488,94.488,7.239904988,2,0.748031496,2,0.748031496,2,6,0.748031496,46835,0.014176494,4,4,0.354330709,7.834645669,37468,0.006089375,0.001598427,0.600309989,0.25,0,4457.3,0,0,0,0,0,1,1,28.80106128,3.947091228,3.953729574,0,0,0,22.18851107,46.57,0.476428867,0,0,0,0,0,0,0,0,0,
77,3.199559732,Iwasaki;T. K.;Kazuhiko; Hagiwara;Ryoji; Hasegawa;Kinji; Koyama;Tatsuhiko; Yoshida;Takeshi (1985). Experimental investigation on hysteretic behavior of reinforced concrete bridge pier columns 17th Joint Panel Meeting of the U.S.-Japan Cooperative Program in Wind and Seismic Effects;Gaithesburg;Maryland;Center for Building Technology.,Iwasaki,I_04,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/77.csv,15.748,31.496,13.051,28.8,1.97,94.488,94.488,7.239904988,4,0.748031496,4,0.748031496,2,6,0.748031496,46835,0.017720617,4,4,0.354330709,7.834645669,37468,0.006089375,0.001598427,0.600309989,0.25,0,4116.55,0,0,0,0,0,1,1,35.96824728,2.379171425,3.199559732,0,0,0,26.23585968,45.72,0.573879275,0,0,0,0,0,0,0,0,0,
78,3.341630683,Iwasaki;T. K.;Kazuhiko; Hagiwara;Ryoji; Hasegawa;Kinji; Koyama;Tatsuhiko; Yoshida;Takeshi (1985). Experimental investigation on hysteretic behavior of reinforced concrete bridge pier columns 17th Joint Panel Meeting of the U.S.-Japan Cooperative Program in Wind and Seismic Effects;Gaithesburg;Maryland;Center for Building Technology.,Iwasaki,I_10,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/78.csv,19.685,19.685,17.697,17.7,1.38,98.425,98.425,5.56167712,11,0.511811024,11,0.511811024,2,9,0.511811024,46835,0.021237251,4,4,0.354330709,10,37468,0.004659658,0.002003697,0.565067526,0.52,0,4525.45,0,0,0,0,0,1,1,35.3948724,2.172004344,3.341630683,0,0,0,31.78195029,48.65,0.653263809,0,0,0,0,0,0,0,0,0,
79,2.681432563,Iwasaki;T. K.;Kazuhiko; Hagiwara;Ryoji; Hasegawa;Kinji; Koyama;Tatsuhiko; Yoshida;Takeshi (1985). Experimental investigation on hysteretic behavior of reinforced concrete bridge pier columns 17th Joint Panel Meeting of the U.S.-Japan Cooperative Program in Wind and Seismic Effects;Gaithesburg;Maryland;Center for Building Technology.,Iwasaki,I_14,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/79.csv,19.685,19.685,17.697,17.7,1.38,98.425,98.425,5.56167712,11,0.511811024,11,0.511811024,2,9,0.511811024,46835,0.021237251,4,4,0.354330709,10,37468,0.004659658,0.002003697,0.565067526,0.52,0,4641.45,0,0,0,0,0,1,1,34.90970904,1.512003024,2.681432563,0,0,0,31.83624909,48.94,0.650548699,0,0,0,0,0,0,0,0,0,
80,2.197917196,Iwasaki;T. K.;Kazuhiko; Hagiwara;Ryoji; Hasegawa;Kinji; Koyama;Tatsuhiko; Yoshida;Takeshi (1985). Experimental investigation on hysteretic behavior of reinforced concrete bridge pier columns 17th Joint Panel Meeting of the U.S.-Japan Cooperative Program in Wind and Seismic Effects;Gaithesburg;Maryland;Center for Building Technology.,Iwasaki,I_16,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/80.csv,19.685,19.685,17.697,17.7,1.38,98.425,98.425,5.56167712,11,0.511811024,11,0.511811024,2,9,0.511811024,46835,0.021237251,4,4,0.354330709,10,37468,0.004659658,0.002003697,0.565067526,0.52,0,4612.45,0,0,0,0,0,1,1,36.65188656,2.702405405,2.197917196,0,0,0,31.82269475,48.87,0.651220393,0,0,0,0,0,0,0,0,0,
81,2.718801707,Iwasaki;T. K.;Kazuhiko; Hagiwara;Ryoji; Hasegawa;Kinji; Koyama;Tatsuhiko; Yoshida;Takeshi (1985). Experimental investigation on hysteretic behavior of reinforced concrete bridge pier columns 17th Joint Panel Meeting of the U.S.-Japan Cooperative Program in Wind and Seismic Effects;Gaithesburg;Maryland;Center for Building Technology.,Iwasaki,I_17,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/81.csv,19.685,19.685,17.697,17.7,1.38,68.898,68.898,3.893202238,11,0.511811024,11,0.511811024,2,9,0.511811024,46835,0.021237251,4,4,0.354330709,10,37468,0.004659658,0.002003697,0.565067526,0.52,0,4613.9,0,0,0,0,0,1,1,53.56644552,0.848566968,2.718801707,3.637260878,0,0,45.46159595,58.61,0.775726339,0,0,0,0,0,0,0,0,0,
82,2.761183198,Iwasaki;T. K.;Kazuhiko; Hagiwara;Ryoji; Hasegawa;Kinji; Koyama;Tatsuhiko; Yoshida;Takeshi (1985). Experimental investigation on hysteretic behavior of reinforced concrete bridge pier columns 17th Joint Panel Meeting of the U.S.-Japan Cooperative Program in Wind and Seismic Effects;Gaithesburg;Maryland;Center for Building Technology.,Iwasaki,I_20,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/82.csv,19.685,19.685,17.697,17.7,1.38,68.898,68.898,3.893202238,11,0.511811024,11,0.511811024,2,9,0.511811024,46835,0.021237251,4,4,0.354330709,10,37468,0.004659658,0.002003697,0.565067526,0.52,0,4825.6,0,0,0,0,0,1,1,51.7140036,1.337135828,2.761183198,0,0,0,45.60129714,59.34,0.768457437,0,0,0,0,0,0,0,0,0,
83,2.472355427,Iwasaki;T. K.;Kazuhiko; Hagiwara;Ryoji; Hasegawa;Kinji; Koyama;Tatsuhiko; Yoshida;Takeshi (1985). Experimental investigation on hysteretic behavior of reinforced concrete bridge pier columns 17th Joint Panel Meeting of the U.S.-Japan Cooperative Program in Wind and Seismic Effects;Gaithesburg;Maryland;Center for Building Technology.,Iwasaki,I_25,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/83.csv,19.685,19.685,17.697,17.7,1.38,45.669,45.669,2.580606883,11,0.511811024,11,0.511811024,2,9,0.511811024,46835,0.021237251,4,4,0.354330709,1.968503937,37468,0.023671062,0.010178781,0.111233765,0.1,0,4786.45,0,0,0,0,0,1,1,88.6525776,0.684831955,2.472355427,4.199785412,0,0,68.75747221,182.72,0.376290915,0,0,0,0,0,0,0,0,0,
84,2.625857252,Ikeda;A. (1968). Report of the Training Institute for Engineering Teachers. Japan;Yokohama National Univeristy.,Ikeda,IK_43,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/84.csv,7.874,7.874,6.811007874,6.81,0.57,19.685,19.685,2.890174313,3,0.512,3,0.512,0,0,0.512,63003.95,0.019924629,2,2,0.236220472,3.937007874,81005.265,0.006613709,0.002827439,0.578036019,0.53,2,2840.55,17.642304,0.100175621,0,0,0,2,1,16.80429456,1.688403377,2.625857252,0,0,0,14.20647144,19.83,0.716499831,0,0,0,0,0,0,0,0,0,
85,1.638811278,Ikeda;A. (1968). Report of the Training Institute for Engineering Teachers. Japan;Yokohama National Univeristy.,Ikeda,IK_44,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/85.csv,7.874,7.874,6.811007874,6.81,0.57,19.685,19.685,2.890174313,3,0.512,3,0.512,0,0,0.512,63003.95,0.019924629,2,2,0.236220472,3.937007874,81005.265,0.006613709,0.002827439,0.578036019,0.53,2,2840.55,17.642304,0.100175621,0,0,0,2,1,15.92217936,1.511003022,1.638811278,0,0,0,14.20647144,19.83,0.716499831,0,0,0,0,0,0,0,0,0,
86,1.558547117,Ikeda;A. (1968). Report of the Training Institute for Engineering Teachers. Japan;Yokohama National Univeristy.,Ikeda,IK_45,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/86.csv,7.874,7.874,6.811007874,6.81,0.57,19.685,19.685,2.890174313,3,0.512,3,0.512,0,0,0.512,63003.95,0.019924629,2,2,0.236220472,3.937007874,81005.265,0.006613709,0.002827439,0.578036019,0.53,2,2840.55,35.284608,0.200351241,0,0,0,2,1,18.8000802,1.18500237,1.558547117,0,0,0,16.23836232,21.43,0.75763557,0,0,0,0,0,0,0,0,0,
87,1.259334519,Ikeda;A. (1968). Report of the Training Institute for Engineering Teachers. Japan;Yokohama National Univeristy.,Ikeda,IK_46,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/87.csv,7.874,7.874,6.811007874,6.81,0.57,19.685,19.685,2.890174313,3,0.512,3,0.512,2,1,0.512,63003.95,0.026566171,2,2,0.236220472,3.937007874,81005.265,0.006613709,0.002827439,0.578036019,0.53,2,2840.55,35.284608,0.200351241,0,0,0,2,1,18.1384938,1.182202364,1.259334519,0,0,0,17.09952251,21.43,0.797814843,0,0,0,0,0,0,0,0,0,
88,2.426212852,Ikeda;A. (1968). Report of the Training Institute for Engineering Teachers. Japan;Yokohama National Univeristy.,Ikeda,IK_62,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/88.csv,7.874,7.874,6.811007874,6.81,0.63,19.685,19.685,2.890174313,5,0.394,5,0.394,0,0,0.394,50003.25,0.019664889,2,2,0.236220472,3.937007874,69004.485,0.006731696,0.002827439,0.578036019,0.53,2,2840.55,17.642304,0.100175621,0,0,0,2,1,13.02222564,1.775403551,2.426212852,0,0,0,11.88111971,18.01,0.659774163,0,0,0,0,0,0,0,0,0,
89,2.819405639,Ikeda;A. (1968). Report of the Training Institute for Engineering Teachers. Japan;Yokohama National Univeristy.,Ikeda,IK_63,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/89.csv,7.874,7.874,6.811007874,6.81,0.63,19.685,19.685,2.890174313,5,0.394,5,0.394,0,0,0.394,50003.25,0.019664889,2,2,0.236220472,3.937007874,69004.485,0.006731696,0.002827439,0.578036019,0.53,2,2840.55,35.284608,0.200351241,0,0,0,2,1,15.92217936,1.052402105,2.819405639,0,0,0,14.07868303,19.61,0.717816531,0,0,0,0,0,0,0,0,0,
90,1.911099822,Ikeda;A. (1968). Report of the Training Institute for Engineering Teachers. Japan;Yokohama National Univeristy.,Ikeda,IK_64,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/90.csv,7.874,7.874,6.811007874,6.81,0.63,19.685,19.685,2.890174313,5,0.394,5,0.394,0,0,0.394,50003.25,0.019664889,2,2,0.236220472,3.937007874,69004.485,0.006731696,0.002827439,0.578036019,0.53,2,2840.55,35.284608,0.200351241,0,0,0,2,1,15.80088852,1.859003718,1.911099822,0,0,0,14.07868303,19.61,0.717816531,0,0,0,0,0,0,0,0,0,
91,2.151807637,Umemura;H. a. E.;T. (1970). Report by Umemura Lab. Tokyo;Tokyo University.,Umemura & Endo ,UM_205,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/91.csv,7.874,7.874,7.087,7.09,0.29,23.622,23.622,3.333145195,3,0.512,3,0.512,0,0,0.512,67004.5,0.019924629,2,2,0.236220472,3.937007874,47003.055,0.00611255,0.002827439,0.55552531,0.53,2,2550.55,35.284608,0.223131371,0,0,0,2,1,15.74575632,2.05333744,2.151807637,0,0,0,15.01421167,15.07,0.996567277,0,0,0,0,0,0,0,0,0,
92,1.605918212,Umemura;H. a. E.;T. (1970). Report by Umemura Lab. Tokyo;Tokyo University.,Umemura & Endo ,UM_207,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/92.csv,7.874,7.874,7.087,7.09,0.29,15.748,15.748,2.222096797,3,0.512,3,0.512,0,0,0.512,67004.5,0.019924629,2,2,0.236220472,3.937007874,47003.055,0.00611255,0.002827439,0.55552531,0.53,2,2550.55,35.284608,0.223131371,0,0,0,2,1,24.00455988,1.287002574,1.605918212,0,0,0,22.5213175,18.89,1.192182558,0,0,0,0,0,0,0,0,0,
93,1.705190077,Umemura;H. a. E.;T. (1970). Report by Umemura Lab. Tokyo;Tokyo University.,Umemura & Endo ,UM_214,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/93.csv,7.874,7.874,7.087,7.09,0.29,23.622,23.622,3.333145195,3,0.512,3,0.512,0,0,0.512,67004.5,0.019924629,2,2,0.236220472,7.874015748,47003.055,0.003056275,0.00141372,1.111050621,1.07,2,2550.55,88.21152,0.557828428,0,0,0,2,1,18.66776292,1.440502881,1.705190077,0,0,0,13.45413258,10.76,1.250263148,0,0,0,0,0,0,0,0,0,
94,1.982473965,Umemura;H. a. E.;T. (1970). Report by Umemura Lab. Tokyo;Tokyo University.,Umemura & Endo ,UM_220,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/94.csv,7.874,7.874,7.087,7.09,0.43,31.496,15.748,2.222096797,3,0.394,3,0.394,0,0,0.394,55004.3,0.011798934,2,2,0.157480315,4.724409449,94006.11,0.002352888,0.0010472,0.666630372,0.63,2,4770.5,35.284608,0.119297289,0,0,0,2,1,17.92899144,1.991253983,1.982473965,0,0,0,15.42745365,19.74,0.781382261,0,0,0,0,0,0,0,0,0,
95,2.002476505,Umemura;H. a. E.;T. (1970). Report by Umemura Lab. Tokyo;Tokyo University.,Umemura & Endo ,UM_231,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/95.csv,7.874,7.874,7.087,7.09,0.45,31.496,15.748,2.222096797,3,0.354330709,3,0.354330709,0,0,0.354330709,47003.2,0.009542626,2,2,0.157480315,3.937007874,76004.94,0.002839537,0.00125664,0.55552531,0.52,0,2140.2,35.284608,0.265913335,0,0,0,2,1,11.302101,0.998376997,2.002476505,0,0,0,11.25849097,16.15,0.697086264,0,0,0,0,0,0,0,0,0,
96,2.008826518,Umemura;H. a. E.;T. (1970). Report by Umemura Lab. Tokyo;Tokyo University.,Umemura & Endo ,UM_232,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/96.csv,7.874,7.874,7.087,7.09,0.45,31.496,15.748,2.222096797,3,0.354330709,3,0.354330709,0,0,0.354330709,47003.2,0.009542626,2,2,0.157480315,3.937007874,76004.94,0.002839537,0.00125664,0.55552531,0.52,0,1899.5,35.284608,0.299609223,0,0,0,2,1,13.19864868,1.026377053,2.008826518,0,0,0,10.79577471,15.73,0.68620345,0,0,0,0,0,0,0,0,0,
97,2.146304293,Umemura;H. a. E.;T. (1970). Report by Umemura Lab. Tokyo;Tokyo University.,Umemura & Endo ,UM_233,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/97.csv,7.874,7.874,7.087,7.09,0.43,31.496,15.748,2.222096797,3,0.394,3,0.394,0,0,0.394,54003.8,0.011798934,2,2,0.157480315,3.937007874,76004.94,0.002823466,0.00125664,0.55552531,0.52,0,2019.85,35.284608,0.281757417,0,0,0,2,1,15.33777804,0.991501983,2.146304293,0,0,0,13.38535239,15.95,0.839451244,0,0,0,0,0,0,0,0,0,
98,2.363792228,Umemura;H. a. E.;T. (1970). Report by Umemura Lab. Tokyo;Tokyo University.,Umemura & Endo ,UM_234,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/98.csv,7.874,7.874,7.087,7.09,0.43,31.496,15.748,2.222096797,3,0.394,3,0.394,0,0,0.394,54003.8,0.011798934,2,2,0.157480315,3.937007874,76004.94,0.002823466,0.00125664,0.55552531,0.52,0,1899.5,35.284608,0.299609223,0,0,0,2,1,15.62446548,1.144002288,2.363792228,0,0,0,13.13536798,15.73,0.834913202,0,0,0,0,0,0,0,0,0,
99,2.124460249,"Kokusho S., Reported by Hirosawa M., 1973, ""A List of Past Experimental Results of Reinforced Concrete Columns."" Tsukuba, Japan: Building Research Institute, Report No. 2, 326.",Kokusho,KO_372,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/99.csv,7.874,7.874,6.693,6.69,0.67,19.685,19.685,2.941132527,2,0.512,2,0.512,0,0,0.512,76004.65,0.013283086,2,2,0.255905512,3.937007874,51003.315,0.007995459,0.003318314,0.588227682,0.53,0,2879.7,35.284608,0.197627433,0,0,0,2,1,16.92713538,1.738803478,2.124460249,0,0,0,13.48705654,17.95,0.751265298,0,0,0,0,0,0,0,0,0,
100,1.930403861,"Kokusho S., Reported by Hirosawa M., 1973, ""A List of Past Experimental Results of Reinforced Concrete Columns."" Tsukuba, Japan: Building Research Institute, Report No. 2, 326.",Kokusho,KO_373,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/100.csv,7.874,7.874,6.693,6.69,0.61,19.685,19.685,2.941132527,2,0.625,2,0.625,0,0,0.625,76004.65,0.01979334,2,2,0.255905512,3.937007874,51003.315,0.007859572,0.003318314,0.588227682,0.54,0,2960.9,35.284608,0.19220768,0,0,0,2,1,19.74835404,1.861403723,1.930403861,2.406908814,0,0,17.58962316,18.04,0.975118356,0,0,0,0,0,0,0,0,0,
101,1.49504699,"Kokusho S., Fukuhara M., Reported by Hirosawa M., 1973, ""A List of Past Experimental Results of Reinforced Concrete Columns."" Tsukuba, Japan: Building Research Institute, Report No.2, 326.",Kokusho & Fukuhara,KO_452,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/101.csv,7.874,7.874,6.693,6.69,0.55,19.685,19.685,2.941132527,2,0.748,2,0.63,0,0,0,52002.8,0.0283506,2,2,0.255905512,3.937007874,45802.89,0.007716814,0.003318314,0.588227682,0.54,0,3179.85,88.21152,0.447432834,0,0,0,2,1,24.4235646,1.026402053,1.49504699,0,0,0,16.83303846,21.03,0.800518642,0,0,0,0,0,0,0,0,0,
102,1.036830074,"Kokusho S., Fukuhara M., Reported by Hirosawa M., 1973, ""A List of Past Experimental Results of Reinforced Concrete Columns."" Tsukuba, Japan: Building Research Institute, Report No.2, 326.",Kokusho & Fukuhara,KO_454,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/102.csv,7.874,7.874,6.693,6.69,0.49,19.685,19.685,2.941132527,2,0.866,2,0.63,0,0,0,52002.8,0.038000983,2,2,0.255905512,3.937007874,45802.89,0.00758465,0.003318314,0.588227682,0.55,0,3179.85,88.21152,0.447432834,0,0,0,2,1,24.3133002,0.802201604,1.036830074,0,0,0,17.97539618,21.03,0.854845058,0,0,0,0,0,0,0,0,0,
