ID,Drift ratio at 0.8Vmax1 [%],References,First Author,Col.Name,Data File,Section depth (h) [in.],Section width (b) [in.],d1 [in.],d2 [in.],Clear Cover cc [in.],lc [in.],a [in.],a/d1,Longi. bars along first face (perp.),Bar dia. [in.],Longi. bars along second face (perp.),Bar dia. [in.],Longi. bars in middle layers(perp.),Longi. bars in middle layers (parl.),Bar dia. [in.],fy (longi. reinf.) [psi],pL (longi. reinf.),Trans. reinf. legs perp. to load,Trans. reinf. legs parl. to load,Trans. bar dia. [in.],Spacing of trans. reinf. (s) [in.],fy (trans. reinf.) [psi],pt (trans. reinf. volumetric ratio),pv (trans. reinf. ratio),s/d1 (primary),s/d2 (secondary),Seismic hoops,f'c [psi],Axial load(P) [kips],Axial load ratio,Spliced longi. bars,Splice length [in.],Splice height [in.],Test configuration,Number of loading directions,Maximum lateral load (primary) (Vmax1) [kips],Drift ratio at Vmax1 [%],Drift ratio at 0.8Vmax1 [%],Drift ratio at 0.25Vmax [%],Drift ratio at axial failure (primary) [%],Lateral load at axial failure (primary) [kips],Vp1 (primary) [kips],Vo1 (primary) [kips],Vp1/Vo1,Maximum lateral load (secondary) (Vmax2) [kips],Drift ratio at Vmax2 [%],Drift ratio at 0.8Vmax2 [%],Drift ratio at 0.25Vmax2 [%],Drift ratio at axial failure (secondary) [%],Lateral load at axial failure (secondary) [kips],Vp2 (secondary) [kips],Vo2 (secondary) [kips],Vp2/Vo2,
9,1.74538045,Umehara;H. a. J.;J.O. (1982). Shear Strength and Deterioration of Short Reinforced Concrete Columns Under Cyclic Deformations. Austin;University of Texas;Austin: 256.,Umehara,CUW,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/9.csv,9.05511811,16.14173228,7.460629921,14.55,0.98,35.826,17.913,2.401003694,2,0.748031496,2,0.748031496,2,3,0.748,63945,0.030066674,4,2,0.236220472,3.503937008,60030,0.003,0.001549703,0.469656992,0.23,2,5060.5,120.15,0.162437421,0,0,0,3,1,59.160616,1.374644992,1.74538045,2.618210238,0,0,54.31410534,46.76,1.161558997,0,0,0,0,0,0,0,0,0,
10,1.495282756,Bett;B. J. K.;Richard E.; Jirsa;James O. (1985). Behavior of Strengthened and Repaired Reinforced Concrete Columns Under Cyclic Deformations. Austin;Texas;University of Texas;Austin: 86.,Bett,UNIT_1_1,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/10.csv,12.00787402,12.00787402,10.41338583,10.41,0.98,35.826,17.913,1.720189792,3,0.748031496,3,0.748031496,2,1,0.748,66990,0.024383014,3.414,3.414,0.236220472,8.267716535,60030,0.003,0.001507082,0.793950851,0.73,2,4335.5,64.8,0.103658178,0,0,0,3,1,48.019528,0.928107902,1.495282756,0,0,0,70.64124573,48.06,1.469968588,0,0,0,0,0,0,0,0,0,
11,2.283958333,"Aboutaha;R. S. E.;M.D.; Jirsa;J.O.: and Kreger;M.E. (1999). ""Rehabilitation of Shear Critical Concrete Columns by Use of Rectangular Steel Jackets."" ACI Structural Journal 96(1): 68-78.",Aboutaha,SC3,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/11.csv,18,36,15.63779528,33.64,1.5,48,48,3.069486405,8,0.984251969,8,0.984251969,0,0,0.984251969,62930,0.018786568,2,5,0.374015748,16,58000,0.002703773,0.000953712,1.023162135,0.46,2,3175.5,0,0,0,0,0,1,1,101.1909325,1.76333,2.283958333,0,0,0,111.0698012,57.1,1.945088683,0,0,0,0,0,0,0,0,0,
12,0.887916667,"Aboutaha;R. S. E.;M.D.; Jirsa;J.O.: and Kreger;M.E. (1999). ""Rehabilitation of Shear Critical Concrete Columns by Use of Rectangular Steel Jackets."" ACI Structural Journal 96(1): 68-78.",Aboutaha,SC9,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/12.csv,36,18,33.63779528,15.64,1.5,48,48,1.426966292,2,0.984251969,2,0.984251969,2,6,0.984251969,62930,0.018786568,5,2,0.374015748,16,58000,0.001955248,0.000762969,0.475655431,0.93,2,2320,0,0,0,0,0,1,1,144.4920524,0.73193,0.887916667,0,0,0,194.1925732,131.78,1.473572604,0,0,0,0,0,0,0,0,0,
13,1.980946,Iwasaki;T. K.;Kazuhiko; Hagiwara;Ryoji; Hasegawa;Kinji; Koyama;Tatsuhiko; Yoshida;Takeshi (1985). Experimental investigation on hysteretic behavior of reinforced concrete bridge pier columns 17th Joint Panel Meeting of the U.S.-Japan Cooperative Program in Wind and Seismic Effects;Gaithesburg;Maryland;Center for Building Technology.,Iwasaki,I18,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/13.csv,19.68503937,19.68503937,17.69703937,17.7,1.38,39.37007874,39.37007874,2.224670348,11,0.511811024,11,0.511811024,2,9,0.511811024,46835,0.021237166,4,4,0.354330709,10,37468,0.004659647,0.002003693,0.565066268,0.52,0,4799.5,0,0,0,0,0,1,1,88.334145,1.401,1.980946,2.817876,0,0,79.77300458,84.08,0.948822742,0,0,0,0,0,0,0,0,0,
14,1.669288,Iwasaki;T. K.;Kazuhiko; Hagiwara;Ryoji; Hasegawa;Kinji; Koyama;Tatsuhiko; Yoshida;Takeshi (1985). Experimental investigation on hysteretic behavior of reinforced concrete bridge pier columns 17th Joint Panel Meeting of the U.S.-Japan Cooperative Program in Wind and Seismic Effects;Gaithesburg;Maryland;Center for Building Technology.,Iwasaki,I21,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/14.csv,19.68503937,19.68503937,17.69703937,17.7,1.38,39.37007874,39.37007874,2.224670348,11,0.511811024,11,0.511811024,2,9,0.512,46835,0.021237166,4,4,0.354330709,10,37468,0.004659647,0.002003693,0.565066268,0.52,0,4599.4,0,0,0,0,0,1,1,95.70636,0.7167,1.669288,0,0,0,79.56553066,82.86,0.960293001,0,0,0,0,0,0,0,0,0,
15,0.998541667,"Priestley;M. J. N. S.;F.; Xiao;Y. and Verma;R. (1994). ""Steel Jacket Retrofitting of Reinforced Concrete Bridge Columns for Enhanced Shear Strength - Part 2: Test Results and Comparison with Theory."" ACI Structural Journal 91(5): 537-551.",Verma,UnitR3A,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/15.csv,16,24,14.5,22.5,0.87,96,48,3.310344828,5,0.75,5,0.75,2,6,0.75,68005,0.025310683,2,2,0.251968504,5,47003.2,0.002295553,0.000831058,0.344827586,0.21,2,5001.05,114.1425,0.059436737,0,0,0,3,1,141.1,0.945104167,0.998541667,1.538541667,0,0,93.92543202,64.94,1.446303775,0,0,0,0,0,0,0,0,0,
16,0.653541667,"Priestley;M. J. N. S.;F.; Xiao;Y. and Verma;R. (1994). ""Steel Jacket Retrofitting of Reinforced Concrete Bridge Columns for Enhanced Shear Strength - Part 2: Test Results and Comparison with Theory."" ACI Structural Journal 91(5): 537-551.",Verma,UnitR5A,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/16.csv,16,24,14.5,22.5,0.87,96,48,3.310344828,5,0.75,5,0.75,2,6,0.75,68005,0.025310683,2,2,0.251968504,5,47003.2,0.002295553,0.000831058,0.344827586,0.21,2,4700.9,114.1425,0.063231742,0,0,0,3,1,169.7,0.498229167,0.653541667,1.410416667,0,0,92.8436062,63.7,1.45755379,0,0,0,0,0,0,0,0,0,
17,1.50495,"Pandey;G. R. M.;H. (2005). ""Seismic Performance of Reinforced Concrete Piers with Bond-Controlled Reinforcements."" ACI Structural Journal 102(2): 295-304.",Pandey,Specimen_B1,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/17.csv,11.81102362,11.81102362,10.23602362,10.24,1.02,31.49606299,31.49606299,3.07698225,6,0.62992126,6,0.62992126,0,0,0.63,55114.5,0.026808257,2,2,0.236220472,9.842519685,57507,0.001824224,0.000753982,0.961556953,0.87,2,4718.3,20.25,0.03076553,0,0,0,1,1,30.555,1.38125,1.50495,0,0,0,32.8503193,18.19,1.806117742,0,0,0,0,0,0,0,0,0,
18,0.483325714,"Yoshimura;K. K.;K.; Kuroki;M. (1991). ""Seismic Shear Strengthening Method for Existing R/C Short Columns."" ACI Structural Journal 128(Special Publication (SP128-66)): 1065-1080.",Yoshimura,Specimen_CE,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/18.csv,6.88976378,6.88976378,5.89776378,5.9,0.56,13.77952756,6.88976378,1.168199344,4,0.394,4,0.394,2,2,0.236220472,56260,0.030821581,2,2,0.236220472,4.330708661,45240,0.007012684,0.002937593,0.734296731,0.67,0,3770,17.915625,0.100111034,0,0,0,3,1,21.742656,0.3749,0.483325714,0,0,0,29.90346147,22.44,1.332610066,0,0,0,0,0,0,0,0,0,
19,0.42672,"Yoshimura;K. K.;K.; Kuroki;M. (1991). ""Seismic Shear Strengthening Method for Existing R/C Short Columns."" ACI Structural Journal 128(Special Publication (SP128-66)): 1065-1080.",Yoshimura,Specimen_BE,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/19.csv,6.88976378,6.88976378,5.89776378,5.9,0.56,13.77952756,6.88976378,1.168199344,4,0.394,4,0.394,2,2,0.236,49880,0.030821581,2,2,0.236220472,4.330708661,45240,0.007012684,0.002937593,0.734296731,0.67,0,4741.5,22.5315,0.100107286,0,0,0,3,1,21.515608,0.2727,0.42672,0,0,0,29.88295104,25.09,1.191129553,0,0,0,0,0,0,0,0,0,
20,1.272902857,"Yoshimura;K. K.;K.; Kuroki;M. (1991). ""Seismic Shear Strengthening Method for Existing R/C Short Columns."" ACI Structural Journal 128(Special Publication (SP128-66)): 1065-1080.",Yoshimura,Specimen_LE,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/20.csv,6.88976378,6.88976378,5.89776378,5.9,0.5,13.77952756,6.88976378,1.168199344,5,0.512,5,0.512,2,3,0.512,49880,0.069397068,2,2,0.236220472,0.787401575,46690,0.037797082,0.016156762,0.133508496,0.12,0,6017.5,28.5975,0.100115958,0,0,0,3,1,36.91216,0.6349,1.272902857,0,0,0,63.53119704,53.57,1.185934083,0,0,0,0,0,0,0,0,0,
21,0.999068665,Yoshimura;M. T.;Y. and Nakamura;T. (2003). Collapse Drift of Reinforced Concrete Columns. The Fifth U.S. - Japan Workshop on Performance-Based Earthquake Engineering Methodology for Reinforced Concrete Structures. Hakone;Japan;Pacific Earthquake Engineering Research Center (UC Berkeley): 239-253.,Yoshimura,No.1,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/21.csv,11.811,11.811,10.039,10.04,1.22,47.244,23.622,2.353023209,4,0.63,4,0.63,2,2,0.63,58290,0.026815067,2,2,0.236,3.937,56840,0.004743678,0.001881446,0.392170535,0.35,2,4451.5,124.224,0.200044121,0,0,0,3,1,53.278,0.994835323,0.999068665,0,13.40064347,0,53.56469254,46.77,1.145191371,0,0,0,0,0,0,0,0,0,
22,0.789518246,Yoshimura;M. T.;Y. and Nakamura;T. (2003). Collapse Drift of Reinforced Concrete Columns. The Fifth U.S. - Japan Workshop on Performance-Based Earthquake Engineering Methodology for Reinforced Concrete Structures. Hakone;Japan;Pacific Earthquake Engineering Research Center (UC Berkeley): 239-253.,Yoshimura,No.3,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/22.csv,11.811,11.811,10.039,10.04,1.22,47.244,23.622,2.353023209,4,0.63,4,0.63,2,2,0.63,58290,0.026815067,2,2,0.236,7.874,56840,0.002371839,0.000940723,0.78434107,0.7,2,4451.5,124.224,0.200044121,0,0,0,3,1,51.547,0.905935145,0.789518246,0,2.000254001,2.248,53.56469254,39.56,1.353921713,0,0,0,0,0,0,0,0,0,
23,0.810684955,Yoshimura;M. T.;Y. and Nakamura;T. (2003). Collapse Drift of Reinforced Concrete Columns. The Fifth U.S. - Japan Workshop on Performance-Based Earthquake Engineering Methodology for Reinforced Concrete Structures. Hakone;Japan;Pacific Earthquake Engineering Research Center (UC Berkeley): 239-253.,Yoshimura,No.4,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/23.csv,11.811,11.811,10.039,10.04,1.22,47.244,23.622,2.353023209,4,0.63,4,0.63,2,2,0.63,58290,0.026815067,2,2,0.236,3.937,56840,0.004743678,0.001881446,0.392170535,0.35,2,4451.5,186.337,0.300067792,0,0,0,3,1,58.673,1.024468716,0.810684955,0,2.000254001,0,56.67332766,52.22,1.085303998,0,0,0,0,0,0,0,0,0,
24,0.572912257,Ousalem;H. K.;T.; Tasai A.; Oshugi;Y. (2002). Experimental Study on Seismic Behavior of Reinforced Concrete Columns under Constant and Variable Axial Loadings. Annual Conference of Japan Concrete Institute;Tsukuba;Japan.,Ousalem,C1,/data/dibbs_experiments_files/sys_nees/aci369columndatabase/rectangular/24.csv,11.811,11.811,10.236,10.24,1.13,35.433,17.7165,1.730803048,4,0.5,4,0.5,2,2,0.5,49300,0.016890317,2,2,0.197,6.3,85115,0.002025401,0.000819266,0.615474795,0.55,2,1957.5,81.94,0.300068806,0,0,0,3,1,36.193,0.38382299,0.572912257,0,0.999068665,8.318,36.90554403,39.11,0.94363022,0,0,0,0,0,0,0,0,0,
